date,n_active_sessions_grid,weekend,holiday,hour_0,hour_1,hour_2,dayofyear_0,dayofyear_1,dayofyear_2,dayofyear_3,dayofweek_0,dayofweek_1,dayofweek_2,dayofweek_3
2024-02-07 03:00:00,1,0,0,0.8580275309732107,0.6903818718787685,0.14431919677311858,0.8483910666096388,0.702257816836511,0.0786698122008922,0.13870963464648242,0.1690133154060661,0.8948393168143698,0.6411803884299545,0.06217652402211629
2024-02-07 04:00:00,1,0,0,0.761692978206885,0.795540549137726,0.11244903316907567,0.8483910666096388,0.702257816836511,0.0786698122008922,0.13870963464648242,0.1690133154060661,0.8948393168143698,0.6411803884299545,0.06217652402211629
2024-02-07 05:00:00,1,0,0,0.6535535454504852,0.8860490340228776,0.1625718598204568,0.8483910666096388,0.702257816836511,0.0786698122008922,0.13870963464648242,0.1690133154060661,0.8948393168143698,0.6411803884299545,0.06217652402211629
2024-02-07 06:00:00,1,0,0,0.5420069956565413,0.9538403407863101,0.22717342011673464,0.8483910666096388,0.702257816836511,0.0786698122008922,0.13870963464648242,0.1690133154060661,0.8948393168143698,0.6411803884299545,0.06217652402211629
2024-02-07 07:00:00,1,0,0,0.43446130562318697,0.9924670790707159,0.3068259960621383,0.8483910666096388,0.702257816836511,0.0786698122008922,0.13870963464648242,0.1690133154060661,0.8948393168143698,0.6411803884299545,0.06217652402211629
2024-02-07 08:00:00,4,0,0,0.33660441498161275,0.9981114264353292,0.4005431261771319,0.8483910666096388,0.702257816836511,0.0786698122008922,0.13870963464648242,0.1690133154060661,0.8948393168143698,0.6411803884299545,0.06217652402211629
2024-02-07 09:00:00,4,0,0,0.25206410632385157,0.9702070790698969,0.5053926334912135,0.8483910666096388,0.702257816836511,0.0786698122008922,0.13870963464648242,0.1690133154060661,0.8948393168143698,0.6411803884299545,0.06217652402211629
2024-02-07 10:00:00,3,0,0,0.18244194768891162,0.9115328926357037,0.6163551452586801,0.8483910666096388,0.702257816836511,0.0786698122008922,0.13870963464648242,0.1690133154060661,0.8948393168143698,0.6411803884299545,0.06217652402211629
2024-02-07 11:00:00,3,0,0,0.12763238565316098,0.8277567757662238,0.7265334899073946,0.8483910666096388,0.702257816836511,0.0786698122008922,0.13870963464648242,0.1690133154060661,0.8948393168143698,0.6411803884299545,0.06217652402211629
2024-02-07 12:00:00,3,0,0,0.12763238565316098,0.7265334899073945,0.8277567757662239,0.8483910666096388,0.702257816836511,0.0786698122008922,0.13870963464648242,0.1690133154060661,0.8948393168143698,0.6411803884299545,0.06217652402211629
2024-02-07 13:00:00,3,0,0,0.1824419476889115,0.6163551452586801,0.9115328926357037,0.8483910666096388,0.702257816836511,0.0786698122008922,0.13870963464648242,0.1690133154060661,0.8948393168143698,0.6411803884299545,0.06217652402211629
2024-02-07 14:00:00,3,0,0,0.2520641063238517,0.5053926334912132,0.970207079069897,0.8483910666096388,0.702257816836511,0.0786698122008922,0.13870963464648242,0.1690133154060661,0.8948393168143698,0.6411803884299545,0.06217652402211629
2024-02-07 15:00:00,4,0,0,0.33660441498161275,0.40054312617713167,0.9981114264353292,0.8483910666096388,0.702257816836511,0.0786698122008922,0.13870963464648242,0.1690133154060661,0.8948393168143698,0.6411803884299545,0.06217652402211629
2024-02-07 16:00:00,4,0,0,0.43446130562318697,0.3068259960621381,0.9924670790707159,0.8483910666096388,0.702257816836511,0.0786698122008922,0.13870963464648242,0.1690133154060661,0.8948393168143698,0.6411803884299545,0.06217652402211629
2024-02-07 17:00:00,3,0,0,0.5420069956565413,0.22717342011673464,0.9538403407863101,0.8483910666096388,0.702257816836511,0.0786698122008922,0.13870963464648242,0.1690133154060661,0.8948393168143698,0.6411803884299545,0.06217652402211629
2024-02-07 18:00:00,3,0,0,0.6535535454504853,0.16257185982045674,0.8860490340228775,0.8483910666096388,0.702257816836511,0.0786698122008922,0.13870963464648242,0.1690133154060661,0.8948393168143698,0.6411803884299545,0.06217652402211629
2024-02-07 19:00:00,1,0,0,0.761692978206885,0.11244903316907558,0.7955405491377259,0.8483910666096388,0.702257816836511,0.0786698122008922,0.13870963464648242,0.1690133154060661,0.8948393168143698,0.6411803884299545,0.06217652402211629
2024-02-07 20:00:00,1,0,0,0.8580275309732107,0.14431919677311858,0.6903818718787685,0.8483910666096388,0.702257816836511,0.0786698122008922,0.13870963464648242,0.1690133154060661,0.8948393168143698,0.6411803884299545,0.06217652402211629
2024-02-07 21:00:00,1,0,0,0.9342110244260491,0.20396802033474817,0.5790804876286293,0.8483910666096388,0.702257816836511,0.0786698122008922,0.13870963464648242,0.1690133154060661,0.8948393168143698,0.6411803884299545,0.06217652402211629
2024-02-07 22:00:00,1,0,0,0.9831306752582376,0.278626585253856,0.469473386225221,0.8483910666096388,0.702257816836511,0.0786698122008922,0.13870963464648242,0.1690133154060661,0.8948393168143698,0.6411803884299545,0.06217652402211629
2024-02-07 23:00:00,1,0,0,1.0,0.3678794411714425,0.36787944117144217,0.8483910666096388,0.702257816836511,0.0786698122008922,0.13870963464648242,0.1690133154060661,0.8948393168143698,0.6411803884299545,0.06217652402211629
2024-02-08 00:00:00,1,0,0,1.0,0.36787944117144233,0.36787944117144217,0.8407836507478857,0.7113830883105307,0.08145802029634178,0.13448567155379273,0.01831563888873418,0.36787944117144233,1.0,0.36787944117144233
2024-02-08 01:00:00,1,0,0,0.9831306752582376,0.4694733862252213,0.2786265852538557,0.8407836507478857,0.7113830883105307,0.08145802029634178,0.13448567155379273,0.01831563888873418,0.36787944117144233,1.0,0.36787944117144233
2024-02-08 02:00:00,1,0,0,0.9342110244260492,0.5790804876286293,0.20396802033474817,0.8407836507478857,0.7113830883105307,0.08145802029634178,0.13448567155379273,0.01831563888873418,0.36787944117144233,1.0,0.36787944117144233
2024-02-08 03:00:00,1,0,0,0.8580275309732107,0.6903818718787685,0.14431919677311858,0.8407836507478857,0.7113830883105307,0.08145802029634178,0.13448567155379273,0.01831563888873418,0.36787944117144233,1.0,0.36787944117144233
2024-02-08 04:00:00,1,0,0,0.761692978206885,0.795540549137726,0.11244903316907567,0.8407836507478857,0.7113830883105307,0.08145802029634178,0.13448567155379273,0.01831563888873418,0.36787944117144233,1.0,0.36787944117144233
2024-02-08 05:00:00,1,0,0,0.6535535454504852,0.8860490340228776,0.1625718598204568,0.8407836507478857,0.7113830883105307,0.08145802029634178,0.13448567155379273,0.01831563888873418,0.36787944117144233,1.0,0.36787944117144233
2024-02-08 06:00:00,1,0,0,0.5420069956565413,0.9538403407863101,0.22717342011673464,0.8407836507478857,0.7113830883105307,0.08145802029634178,0.13448567155379273,0.01831563888873418,0.36787944117144233,1.0,0.36787944117144233
2024-02-08 07:00:00,1,0,0,0.43446130562318697,0.9924670790707159,0.3068259960621383,0.8407836507478857,0.7113830883105307,0.08145802029634178,0.13448567155379273,0.01831563888873418,0.36787944117144233,1.0,0.36787944117144233
2024-02-08 08:00:00,2,0,0,0.33660441498161275,0.9981114264353292,0.4005431261771319,0.8407836507478857,0.7113830883105307,0.08145802029634178,0.13448567155379273,0.01831563888873418,0.36787944117144233,1.0,0.36787944117144233
2024-02-08 09:00:00,2,0,0,0.25206410632385157,0.9702070790698969,0.5053926334912135,0.8407836507478857,0.7113830883105307,0.08145802029634178,0.13448567155379273,0.01831563888873418,0.36787944117144233,1.0,0.36787944117144233
2024-02-08 10:00:00,3,0,0,0.18244194768891162,0.9115328926357037,0.6163551452586801,0.8407836507478857,0.7113830883105307,0.08145802029634178,0.13448567155379273,0.01831563888873418,0.36787944117144233,1.0,0.36787944117144233
2024-02-08 11:00:00,3,0,0,0.12763238565316098,0.8277567757662238,0.7265334899073946,0.8407836507478857,0.7113830883105307,0.08145802029634178,0.13448567155379273,0.01831563888873418,0.36787944117144233,1.0,0.36787944117144233
2024-02-08 12:00:00,3,0,0,0.12763238565316098,0.7265334899073945,0.8277567757662239,0.8407836507478857,0.7113830883105307,0.08145802029634178,0.13448567155379273,0.01831563888873418,0.36787944117144233,1.0,0.36787944117144233
2024-02-08 13:00:00,3,0,0,0.1824419476889115,0.6163551452586801,0.9115328926357037,0.8407836507478857,0.7113830883105307,0.08145802029634178,0.13448567155379273,0.01831563888873418,0.36787944117144233,1.0,0.36787944117144233
2024-02-08 14:00:00,2,0,0,0.2520641063238517,0.5053926334912132,0.970207079069897,0.8407836507478857,0.7113830883105307,0.08145802029634178,0.13448567155379273,0.01831563888873418,0.36787944117144233,1.0,0.36787944117144233
2024-02-08 15:00:00,3,0,0,0.33660441498161275,0.40054312617713167,0.9981114264353292,0.8407836507478857,0.7113830883105307,0.08145802029634178,0.13448567155379273,0.01831563888873418,0.36787944117144233,1.0,0.36787944117144233
2024-02-08 16:00:00,3,0,0,0.43446130562318697,0.3068259960621381,0.9924670790707159,0.8407836507478857,0.7113830883105307,0.08145802029634178,0.13448567155379273,0.01831563888873418,0.36787944117144233,1.0,0.36787944117144233
2024-02-08 17:00:00,3,0,0,0.5420069956565413,0.22717342011673464,0.9538403407863101,0.8407836507478857,0.7113830883105307,0.08145802029634178,0.13448567155379273,0.01831563888873418,0.36787944117144233,1.0,0.36787944117144233
2024-02-08 18:00:00,3,0,0,0.6535535454504853,0.16257185982045674,0.8860490340228775,0.8407836507478857,0.7113830883105307,0.08145802029634178,0.13448567155379273,0.01831563888873418,0.36787944117144233,1.0,0.36787944117144233
2024-02-08 19:00:00,1,0,0,0.761692978206885,0.11244903316907558,0.7955405491377259,0.8407836507478857,0.7113830883105307,0.08145802029634178,0.13448567155379273,0.01831563888873418,0.36787944117144233,1.0,0.36787944117144233
2024-02-08 20:00:00,1,0,0,0.8580275309732107,0.14431919677311858,0.6903818718787685,0.8407836507478857,0.7113830883105307,0.08145802029634178,0.13448567155379273,0.01831563888873418,0.36787944117144233,1.0,0.36787944117144233
2024-02-08 21:00:00,1,0,0,0.9342110244260491,0.20396802033474817,0.5790804876286293,0.8407836507478857,0.7113830883105307,0.08145802029634178,0.13448567155379273,0.01831563888873418,0.36787944117144233,1.0,0.36787944117144233
2024-02-08 22:00:00,1,0,0,0.9831306752582376,0.278626585253856,0.469473386225221,0.8407836507478857,0.7113830883105307,0.08145802029634178,0.13448567155379273,0.01831563888873418,0.36787944117144233,1.0,0.36787944117144233
2024-02-08 23:00:00,1,0,0,1.0,0.3678794411714425,0.36787944117144217,0.8407836507478857,0.7113830883105307,0.08145802029634178,0.13448567155379273,0.01831563888873418,0.36787944117144233,1.0,0.36787944117144233
2024-02-09 00:00:00,1,0,0,1.0,0.36787944117144233,0.36787944117144217,0.8330443323780677,0.7204538649807025,0.08432479096200901,0.13035902052754203,0.169013315406066,0.06217652402211635,0.6411803884299547,0.8948393168143697
2024-02-09 01:00:00,1,0,0,0.9831306752582376,0.4694733862252213,0.2786265852538557,0.8330443323780677,0.7204538649807025,0.08432479096200901,0.13035902052754203,0.169013315406066,0.06217652402211635,0.6411803884299547,0.8948393168143697
2024-02-09 02:00:00,1,0,0,0.9342110244260492,0.5790804876286293,0.20396802033474817,0.8330443323780677,0.7204538649807025,0.08432479096200901,0.13035902052754203,0.169013315406066,0.06217652402211635,0.6411803884299547,0.8948393168143697
2024-02-09 03:00:00,1,0,0,0.8580275309732107,0.6903818718787685,0.14431919677311858,0.8330443323780677,0.7204538649807025,0.08432479096200901,0.13035902052754203,0.169013315406066,0.06217652402211635,0.6411803884299547,0.8948393168143697
2024-02-09 04:00:00,1,0,0,0.761692978206885,0.795540549137726,0.11244903316907567,0.8330443323780677,0.7204538649807025,0.08432479096200901,0.13035902052754203,0.169013315406066,0.06217652402211635,0.6411803884299547,0.8948393168143697
2024-02-09 05:00:00,1,0,0,0.6535535454504852,0.8860490340228776,0.1625718598204568,0.8330443323780677,0.7204538649807025,0.08432479096200901,0.13035902052754203,0.169013315406066,0.06217652402211635,0.6411803884299547,0.8948393168143697
2024-02-09 06:00:00,1,0,0,0.5420069956565413,0.9538403407863101,0.22717342011673464,0.8330443323780677,0.7204538649807025,0.08432479096200901,0.13035902052754203,0.169013315406066,0.06217652402211635,0.6411803884299547,0.8948393168143697
2024-02-09 07:00:00,1,0,0,0.43446130562318697,0.9924670790707159,0.3068259960621383,0.8330443323780677,0.7204538649807025,0.08432479096200901,0.13035902052754203,0.169013315406066,0.06217652402211635,0.6411803884299547,0.8948393168143697
2024-02-09 08:00:00,2,0,0,0.33660441498161275,0.9981114264353292,0.4005431261771319,0.8330443323780677,0.7204538649807025,0.08432479096200901,0.13035902052754203,0.169013315406066,0.06217652402211635,0.6411803884299547,0.8948393168143697
2024-02-09 09:00:00,3,0,0,0.25206410632385157,0.9702070790698969,0.5053926334912135,0.8330443323780677,0.7204538649807025,0.08432479096200901,0.13035902052754203,0.169013315406066,0.06217652402211635,0.6411803884299547,0.8948393168143697
2024-02-09 10:00:00,4,0,0,0.18244194768891162,0.9115328926357037,0.6163551452586801,0.8330443323780677,0.7204538649807025,0.08432479096200901,0.13035902052754203,0.169013315406066,0.06217652402211635,0.6411803884299547,0.8948393168143697
2024-02-09 11:00:00,4,0,0,0.12763238565316098,0.8277567757662238,0.7265334899073946,0.8330443323780677,0.7204538649807025,0.08432479096200901,0.13035902052754203,0.169013315406066,0.06217652402211635,0.6411803884299547,0.8948393168143697
2024-02-09 12:00:00,2,0,0,0.12763238565316098,0.7265334899073945,0.8277567757662239,0.8330443323780677,0.7204538649807025,0.08432479096200901,0.13035902052754203,0.169013315406066,0.06217652402211635,0.6411803884299547,0.8948393168143697
2024-02-09 13:00:00,3,0,0,0.1824419476889115,0.6163551452586801,0.9115328926357037,0.8330443323780677,0.7204538649807025,0.08432479096200901,0.13035902052754203,0.169013315406066,0.06217652402211635,0.6411803884299547,0.8948393168143697
2024-02-09 14:00:00,3,0,0,0.2520641063238517,0.5053926334912132,0.970207079069897,0.8330443323780677,0.7204538649807025,0.08432479096200901,0.13035902052754203,0.169013315406066,0.06217652402211635,0.6411803884299547,0.8948393168143697
2024-02-09 15:00:00,3,0,0,0.33660441498161275,0.40054312617713167,0.9981114264353292,0.8330443323780677,0.7204538649807025,0.08432479096200901,0.13035902052754203,0.169013315406066,0.06217652402211635,0.6411803884299547,0.8948393168143697
2024-02-09 16:00:00,3,0,0,0.43446130562318697,0.3068259960621381,0.9924670790707159,0.8330443323780677,0.7204538649807025,0.08432479096200901,0.13035902052754203,0.169013315406066,0.06217652402211635,0.6411803884299547,0.8948393168143697
2024-02-09 17:00:00,3,0,0,0.5420069956565413,0.22717342011673464,0.9538403407863101,0.8330443323780677,0.7204538649807025,0.08432479096200901,0.13035902052754203,0.169013315406066,0.06217652402211635,0.6411803884299547,0.8948393168143697
2024-02-09 18:00:00,3,0,0,0.6535535454504853,0.16257185982045674,0.8860490340228775,0.8330443323780677,0.7204538649807025,0.08432479096200901,0.13035902052754203,0.169013315406066,0.06217652402211635,0.6411803884299547,0.8948393168143697
2024-02-09 19:00:00,2,0,0,0.761692978206885,0.11244903316907558,0.7955405491377259,0.8330443323780677,0.7204538649807025,0.08432479096200901,0.13035902052754203,0.169013315406066,0.06217652402211635,0.6411803884299547,0.8948393168143697
2024-02-09 20:00:00,2,0,0,0.8580275309732107,0.14431919677311858,0.6903818718787685,0.8330443323780677,0.7204538649807025,0.08432479096200901,0.13035902052754203,0.169013315406066,0.06217652402211635,0.6411803884299547,0.8948393168143697
2024-02-09 21:00:00,0,0,0,0.9342110244260491,0.20396802033474817,0.5790804876286293,0.8330443323780677,0.7204538649807025,0.08432479096200901,0.13035902052754203,0.169013315406066,0.06217652402211635,0.6411803884299547,0.8948393168143697
2024-02-09 22:00:00,0,0,0,0.9831306752582376,0.278626585253856,0.469473386225221,0.8330443323780677,0.7204538649807025,0.08432479096200901,0.13035902052754203,0.169013315406066,0.06217652402211635,0.6411803884299547,0.8948393168143697
2024-02-09 23:00:00,0,0,0,1.0,0.3678794411714425,0.36787944117144217,0.8330443323780677,0.7204538649807025,0.08432479096200901,0.13035902052754203,0.169013315406066,0.06217652402211635,0.6411803884299547,0.8948393168143697
2024-02-10 00:00:00,0,1,0,1.0,0.36787944117144233,0.36787944117144217,0.8251780259856385,0.729465067221301,0.0872714878342387,0.12632864733129337,0.6411803884299547,0.06217652402211635,0.169013315406066,0.8948393168143697
2024-02-10 01:00:00,0,1,0,0.9831306752582376,0.4694733862252213,0.2786265852538557,0.8251780259856385,0.729465067221301,0.0872714878342387,0.12632864733129337,0.6411803884299547,0.06217652402211635,0.169013315406066,0.8948393168143697
2024-02-10 02:00:00,0,1,0,0.9342110244260492,0.5790804876286293,0.20396802033474817,0.8251780259856385,0.729465067221301,0.0872714878342387,0.12632864733129337,0.6411803884299547,0.06217652402211635,0.169013315406066,0.8948393168143697
2024-02-10 03:00:00,0,1,0,0.8580275309732107,0.6903818718787685,0.14431919677311858,0.8251780259856385,0.729465067221301,0.0872714878342387,0.12632864733129337,0.6411803884299547,0.06217652402211635,0.169013315406066,0.8948393168143697
2024-02-10 04:00:00,0,1,0,0.761692978206885,0.795540549137726,0.11244903316907567,0.8251780259856385,0.729465067221301,0.0872714878342387,0.12632864733129337,0.6411803884299547,0.06217652402211635,0.169013315406066,0.8948393168143697
